ID,Title,Type,Year,Release Date,Rating,Genres,Source,Trailer URL,Poster URL,Description,Now Playing
tmdb-tv-218961,Drops of God,tv,2023,2023-04-21,7.6,"Drama, Mystery",Apple TV+,https://www.youtube.com/watch?v=3_y2j72Cfe4,https://image.tmdb.org/t/p/w500/t3OGrj5z0RSv7GaPxtcNneu2JCr.jpg,"While the world of wine mourns the death of Alexandre Léger, his estranged daughter, Camille, learns his extraordinary collection is now hers. But before she can claim her inheritance, Camille must be...",
tmdb-movie-1159559,Scream 7,movie,2026,2026-02-25,TBD,"Horror, Mystery, Crime",In Theatres,https://www.youtube.com/watch?v=kFdDOLP5mXY,https://image.tmdb.org/t/p/w500/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her fami...",
tmdb-movie-1379266,Kokuho,movie,2026,2026-02-06,8.2,Drama,In Theatres,https://www.youtube.com/watch?v=Y0KfXj3Skao,https://image.tmdb.org/t/p/w500/a15F5KJ4mleusJR1YKP4zUyZaxG.jpg,"Nagasaki, 1964: Following the death of his yakuza father, 15-year-old Kikuo is taken under the wing of a famous kabuki actor. Alongside Shunsuke, the actor’s only son, he decides to dedicate himself t...",
tmdb-movie-1413097,Melania,movie,2026,2026-01-30,3.0,Documentary,In Theatres,https://www.youtube.com/watch?v=dxXJAqOU00g,https://image.tmdb.org/t/p/w500/ba6Silct0Y4pyvrSv0Tj0Urmx9f.jpg,Offering unprecedented access to the 20 days leading up to the 2025 Presidential Inauguration — through the eyes of the First Lady-elect herself — step inside Melania Trump's world as she orchestrates...,Cineplex
tmdb-movie-1262815,The Choral,movie,2026,2026-01-09,6.6,"Comedy, Drama, Music",In Theatres,https://www.youtube.com/watch?v=6zRVP-ZgMm8,https://image.tmdb.org/t/p/w500/yQtms7CSM0CE0W6dYbLLAATb5rL.jpg,"As World War I rages on, Dr. Henry Guthrie takes over a British choral society that's lost most of its men to the army. The community soon discovers that the best response to the chaos of war is to ma...",Cineplex
tmdb-movie-1171145,Crime 101,movie,2026,2026-02-12,TBD,"Crime, Thriller",In Theatres,https://www.youtube.com/watch?v=KeEHsuZ4Ja4,https://image.tmdb.org/t/p/w500/fDj8ZATOTmiFy7BF43L3XLIOrf0.jpg,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillu...",
tmdb-movie-1159206,Father Mother Sister Brother,movie,2026,2026-01-10,6.7,"Comedy, Drama",In Theatres,https://www.youtube.com/watch?v=PA07EmbZ0b0,https://image.tmdb.org/t/p/w500/zewZA6sL52YSH8xIH4wbG5GadjV.jpg,"Three stories concerning the relationships between adult children, their somewhat distant parent (or parents), and each other: a reclusive father visited by his grown children in the US, sisters visit...",Cineplex
tmdb-movie-1202549,The Well,movie,2026,2026-01-23,TBD,"Drama, Thriller",In Theatres,https://www.youtube.com/watch?v=IsGm5UAJMs4,https://image.tmdb.org/t/p/w500/4LaC3a1ZMrIBXsDGaPFHaa2mzCI.jpg,"In a world where environmental collapse has left survivors to fight for the precious resources needed to survive, a young woman’s loyalties are tested by the arrival of a wounded man. When he discover...",Cineplex
tmdb-movie-1198984,We Bury the Dead,movie,2026,2026-01-02,6.4,"Horror, Thriller, Sci-Fi, Drama",In Theatres,https://www.youtube.com/watch?v=iE-W-wEJJqw,https://image.tmdb.org/t/p/w500/vWOALCjS3cANciJKkG0qV8k1izW.jpg,"After a catastrophic military disaster, the dead don't just rise—they hunt. The military insists they are harmless and slow-moving, offering hope to grieving families. But when Ava enters a quarantine...",Cineplex
tmdb-movie-1510688,Call Me Mother,movie,2026,2026-01-09,8.0,"Comedy, Drama",In Theatres,https://www.youtube.com/watch?v=cFZmGrP108E,https://image.tmdb.org/t/p/w500/p0umaKN4HpuA8ynXNofbOuhz7ON.jpg,"Twinkle is a single queer mother whose dream of officially adopting her son gets shaken when the boy's biological mother, Mara, unexpectedly reappears.",Cineplex
tmdb-movie-1193501,Whistle,movie,2026,2026-02-06,2.0,"Horror, Mystery",In Theatres,https://www.youtube.com/watch?v=K784dJXVhBo,https://image.tmdb.org/t/p/w500/ieOiiCBbf0SNwR39iiA2xnGOnab.jpg,"When a group of misfit teenagers stumble upon an ancient Aztec death whistle, they learn that by blowing it, its terrifying sound will invoke their future deaths to hunt them down. As the body count r...",
tmdb-movie-1154538,Nirvanna the Band the Show the Movie,movie,2026,2026-02-13,TBD,"Comedy, Sci-Fi, Adventure",In Theatres,https://www.youtube.com/watch?v=y2K9ccMREOI,https://image.tmdb.org/t/p/w500/sm5TGX8WbnCd9Uo26cLyTxVwA1n.jpg,"When their plan to book a show at the Rivoli goes horribly wrong, Matt and Jay accidentally travel back to the year 2008.",
tmdb-movie-870360,The Day the Earth Blew Up: A Looney Tunes Movie,movie,2025,2025-03-14,7.6,"Family, Comedy, Adventure, Animation, Sci-Fi",In Theatres,https://www.youtube.com/watch?v=rfavar8cEPs,https://image.tmdb.org/t/p/w500/s2lB1kaYCdGSnZX5meQCiOR6HfX.jpg,"Porky and Daffy, the classic animated odd couple, turn into unlikely heroes when their antics at the local bubble gum factory uncover a secret alien mind control plot. Against all odds, the two are de...",Cineplex
tmdb-movie-1429348,The Stranger,movie,2026,2026-01-16,6.8,"Drama, Crime",In Theatres,https://www.youtube.com/watch?v=gR912kHSOlA,https://image.tmdb.org/t/p/w500/11lx7Isd86SIPeNuWlAPjYTfr57.jpg,"In 1930s Algeria, the daily life of an indifferent Frenchman is shaken by the death of his mother and a fateful encounter on a beach.",Cineplex
tmdb-movie-1395140,Lupin the IIIRD: The Movie - The Immortal Bloodline,movie,2026,2026-01-09,8.0,"Animation, Action, Crime",In Theatres,https://www.youtube.com/watch?v=_xHWDNnU7ps,https://image.tmdb.org/t/p/w500/oqipJVMlnXeDakXtINMeIAl341q.jpg,"After fending off a series of skilled assassins, gentleman thief Lupin III and his band of allies follow a strange invitation to an uncharted island. When their plane is shot down, the gang is strande...",Cineplex
tmdb-movie-1305715,Unexpected Family,movie,2026,2026-02-06,7.3,"Comedy, Drama",In Theatres,https://www.youtube.com/watch?v=qo_ci3zwRVw,https://image.tmdb.org/t/p/w500/jTuu8wLW2RUg1IzX4IC7wqpsjIo.jpg,"For family reasons, Zhong Bufan, a young man from a small town, flees his home to try to reach Beijing. On the way, he crosses paths with Ren Jiqing, an old man suffering from Alzheimer's disease who ...",
tmdb-movie-1128547,Islands,movie,2026,2026-01-30,6.2,"Thriller, Drama, Crime",In Theatres,https://www.youtube.com/watch?v=MifpmLyraBE,https://image.tmdb.org/t/p/w500/a5CewSvoMsfAdg093AKzovKfVHd.jpg,"In this twisty thriller, a tennis coach at a tropical resort finds himself at the center of a missing persons mystery. Tom teaches tennis during the day and parties at night. When an enigmatic tourist...",Cineplex
tmdb-movie-959646,Zombie Land Saga: Yumeginga Paradise,movie,2026,2026-01-19,TBD,"Animation, Comedy, Music, Action",In Theatres,https://www.youtube.com/watch?v=G1nG-AKY7Yk,https://image.tmdb.org/t/p/w500/a4xxEU8MQLaVeduHUe3nn7m5iXd.jpg,"Zombies × Idols × Saga — Seriously!? What kind of madness will this outrageous, expectation-defying anime unleash on the big screen!? Legendary girls return as zombies to fight as Saga's local idols i...",Cineplex
tmdb-movie-467905,How to Make a Killing,movie,2026,2026-02-20,TBD,"Comedy, Thriller, Drama",In Theatres,https://www.youtube.com/watch?v=B7RslMKZ2Yc,https://image.tmdb.org/t/p/w500/yQ7OP2HYxl9YmkWNMkuUA2YaF5.jpg,"Disowned at birth by his obscenely wealthy family, blue-collar Becket Redfellow will stop at nothing to reclaim his inheritance, no matter how many relatives stand in his way.",
